"country","datstat_altpid","FAC_TYPE","facility_complexity"
"BLZ","F03","1","Primary/ambulatory"
"BLZ","F04","1","Primary/ambulatory"
"BLZ","F05","1","Primary/ambulatory"
"BLZ","F06","1","Primary/ambulatory"
"BLZ","F17","2","Higher-complexity"
"BLZ","F18","1","Primary/ambulatory"
"BLZ","F19","1","Primary/ambulatory"
"BLZ","F21","1","Primary/ambulatory"
"BLZ","F31","3","Higher-complexity"
"BLZ","F39","2","Higher-complexity"
"BLZ","F40","1","Primary/ambulatory"
"GTM","F301","9","Higher-complexity"
"GTM","F302","9","Higher-complexity"
"GTM","F303","6","Higher-complexity"
"GTM","F304","9","Higher-complexity"
"GTM","F305","9","Higher-complexity"
"GTM","F306","2","Primary/ambulatory"
"GTM","F307","3","Primary/ambulatory"
"GTM","F308","3","Primary/ambulatory"
"GTM","F309","3","Primary/ambulatory"
"GTM","F310","3","Primary/ambulatory"
"GTM","F311","3","Primary/ambulatory"
"GTM","F312","3","Primary/ambulatory"
"GTM","F313","3","Primary/ambulatory"
"GTM","F314","3","Primary/ambulatory"
"GTM","F315","4","Primary/ambulatory"
"GTM","F316","3","Primary/ambulatory"
"GTM","F317","4","Primary/ambulatory"
"GTM","F318","4","Primary/ambulatory"
"GTM","F319","4","Primary/ambulatory"
"GTM","F320","3","Primary/ambulatory"
"GTM","F322","3","Primary/ambulatory"
"GTM","F323","4","Primary/ambulatory"
"HND","F03","2","Primary/ambulatory"
"HND","F04","1","Primary/ambulatory"
"HND","F05","1","Primary/ambulatory"
"HND","F06","1","Primary/ambulatory"
"HND","F12","2","Primary/ambulatory"
"HND","F17","2","Primary/ambulatory"
"HND","F18","1","Primary/ambulatory"
"HND","F19","2","Primary/ambulatory"
"HND","F205","1","Primary/ambulatory"
"HND","F21","2","Primary/ambulatory"
"HND","F210","1","Primary/ambulatory"
"HND","F213","1","Primary/ambulatory"
"HND","F217","1","Primary/ambulatory"
"HND","F226","1","Primary/ambulatory"
"HND","F248","2","Primary/ambulatory"
"HND","F255","1","Primary/ambulatory"
"HND","F301","1","Primary/ambulatory"
"HND","F302","1","Primary/ambulatory"
"HND","F303","1","Primary/ambulatory"
"HND","F304","1","Primary/ambulatory"
"HND","F305","1","Primary/ambulatory"
"HND","F306","2","Primary/ambulatory"
"HND","F307","2","Primary/ambulatory"
"HND","F308","1","Primary/ambulatory"
"HND","F309","1","Primary/ambulatory"
"HND","F31","1","Primary/ambulatory"
"HND","F310","1","Primary/ambulatory"
"HND","F311","1","Primary/ambulatory"
"HND","F312","1","Primary/ambulatory"
"HND","F313","2","Primary/ambulatory"
"HND","F314","1","Primary/ambulatory"
"HND","F315","2","Primary/ambulatory"
"HND","F316","1","Primary/ambulatory"
"HND","F317","1","Primary/ambulatory"
"HND","F318","2","Primary/ambulatory"
"HND","F319","1","Primary/ambulatory"
"HND","F320","1","Primary/ambulatory"
"HND","F322","1","Primary/ambulatory"
"HND","F323","2","Primary/ambulatory"
"HND","F36","1","Primary/ambulatory"
"HND","F39","2","Primary/ambulatory"
"HND","F40","1","Primary/ambulatory"
"HND","F46","2","Primary/ambulatory"
"HND","F49","1","Primary/ambulatory"
"HND","F51","2","Primary/ambulatory"
"HND","F52","2","Primary/ambulatory"
"HND","F55","2","Primary/ambulatory"
"HND","F56","1","Primary/ambulatory"
"HND","F60","2","Primary/ambulatory"
"HND","F61","1","Primary/ambulatory"
"HND","F66","1","Primary/ambulatory"
"HND","F68","2","Primary/ambulatory"
"HND","F70","1","Primary/ambulatory"
"HND","F71","2","Primary/ambulatory"
"HND","F72","1","Primary/ambulatory"
"HND","F75","2","Primary/ambulatory"
"HND","F77","1","Primary/ambulatory"
"HND","F82","1","Primary/ambulatory"
"HND","F84","2","Primary/ambulatory"
"HND","F91","2","Primary/ambulatory"
"MEX","F301","1","Primary/ambulatory"
"MEX","F303","1","Primary/ambulatory"
"MEX","F304","5","Primary/ambulatory"
"MEX","F305","5","Primary/ambulatory"
"MEX","F306","5","Primary/ambulatory"
"MEX","F307","1","Primary/ambulatory"
"MEX","F308","1","Primary/ambulatory"
"MEX","F309","1","Primary/ambulatory"
"MEX","F310","5","Primary/ambulatory"
"MEX","F311","5","Primary/ambulatory"
"MEX","F312","6","Primary/ambulatory"
"MEX","F313","5","Primary/ambulatory"
"MEX","F314","1","Primary/ambulatory"
"MEX","F315","5","Primary/ambulatory"
"MEX","F317","1","Primary/ambulatory"
"MEX","F318","1","Primary/ambulatory"
"MEX","F319","5","Primary/ambulatory"
"MEX","F320","5","Primary/ambulatory"
"MEX","F322","5","Primary/ambulatory"
"MEX","F323","5","Primary/ambulatory"
"NIC","F05","2","Primary/ambulatory"
"NIC","F205","4","Higher-complexity"
"NIC","F210","4","Higher-complexity"
"NIC","F226","1","Primary/ambulatory"
"NIC","F301","5","Higher-complexity"
"NIC","F302","4","Higher-complexity"
"NIC","F303","5","Higher-complexity"
"NIC","F304","4","Higher-complexity"
"NIC","F305","4","Higher-complexity"
"NIC","F306","6","Higher-complexity"
"NIC","F307","4","Higher-complexity"
"NIC","F308","2","Primary/ambulatory"
"NIC","F311","1","Primary/ambulatory"
"NIC","F312","1","Primary/ambulatory"
"NIC","F313","1","Primary/ambulatory"
"NIC","F314","1","Primary/ambulatory"
"NIC","F315","1","Primary/ambulatory"
"NIC","F316","1","Primary/ambulatory"
"NIC","F317","1","Primary/ambulatory"
"NIC","F319","7","Primary/ambulatory"
"NIC","F320","1","Primary/ambulatory"
"NIC","F322","1","Primary/ambulatory"
"NIC","F323","1","Primary/ambulatory"
"PAN","F03","3","Higher-complexity"
"PAN","F04","3","Higher-complexity"
"PAN","F05","3","Higher-complexity"
"PAN","F06","3","Higher-complexity"
"PAN","F12","2","Primary/ambulatory"
"PAN","F18","1","Primary/ambulatory"
"PAN","F19","1","Primary/ambulatory"
"PAN","F21","4","Primary/ambulatory"
"PAN","F31","1","Primary/ambulatory"
"PAN","F36","1","Primary/ambulatory"
"PAN","F39","1","Primary/ambulatory"
"PAN","F40","2","Primary/ambulatory"
"SLV","F05","4","Higher-complexity"
"SLV","F06","1","Primary/ambulatory"
"SLV","F18","4","Higher-complexity"
"SLV","F19","4","Higher-complexity"
"SLV","F301","1","Primary/ambulatory"
"SLV","F302","1","Primary/ambulatory"
"SLV","F303","1","Primary/ambulatory"
"SLV","F304","1","Primary/ambulatory"
"SLV","F305","1","Primary/ambulatory"
"SLV","F306","1","Primary/ambulatory"
"SLV","F307","1","Primary/ambulatory"
"SLV","F308","1","Primary/ambulatory"
"SLV","F309","1","Primary/ambulatory"
"SLV","F310","1","Primary/ambulatory"
"SLV","F311","1","Primary/ambulatory"
"SLV","F312","1","Primary/ambulatory"
"SLV","F313","1","Primary/ambulatory"
"SLV","F314","1","Primary/ambulatory"
"SLV","F315","1","Primary/ambulatory"
"SLV","F316","1","Primary/ambulatory"
"SLV","F317","1","Primary/ambulatory"
"SLV","F36","1","Primary/ambulatory"
"SLV","F52","1","Primary/ambulatory"
"SLV","F55","1","Primary/ambulatory"
"SLV","F60","4","Higher-complexity"
